 Variant= 
 b
  1  2  3  4
 A
  5.50000 -2.60000  1.00000 -1.70000
 -2.60000  7.50000 -2.50000 -0.40000
  1.00000 -2.50000  0.90000  0.40000
 -1.70000 -0.40000  0.40000  4.90000
 Решение прямым методом квадратного корня 
 x*
  -4.27547946212065  26.9193180983173  85.2733485193622  -5.43059739878021
 Норма матрицы=10.08864
 Метод простой итерации
                        |   Норма   | Норма      |  Оценка   |
 Itr    |  tau |  q     |  невязки  |погрешности |Погрешности|    x[1]    x[2]     x[3]    x[4]
 16   | 0.1784 |  0.863 | 0.8012136 | 14.5639177 | 0.8975333 |  0.16650  3.80830 10.66363  0.35828 
 17   | 0.1784 |  0.882 | 0.7067883 | 14.4743285 | 0.9439087 |  0.15424  3.92838 11.12996  0.31998 
 18   | 0.1784 |  0.903 | 0.6382244 | 14.3853006 | 1.0599644 |  0.11490  4.08736 11.57989  0.28674 
 19   | 0.1784 |  0.923 | 0.5892672 | 14.2968268 | 1.2654576 |  0.09755  4.21367 12.03787  0.24986 
 20   | 0.1784 |  0.941 | 0.5547199 | 14.2089015 | 1.5891817 |  0.06292  4.36456 12.48438  0.21629 
 21   | 0.1784 |  0.956 | 0.5304453 | 14.1215196 | 2.0680874 |  0.04242  4.49424 12.93507  0.18047 
 22   | 0.1784 |  0.968 | 0.5133012 | 14.0346769 | 2.7420107 |  0.01092  4.63936 13.37745  0.14683 
 23   | 0.1784 |  0.976 | 0.5010023 | 13.9483693 | 3.6412742 | -0.01148  4.77060 13.82154  0.11184 
 24   | 0.1784 |  0.982 | 0.4919445 | 13.8625933 | 4.7670477 | -0.04087  4.91141 14.25935  0.07831 
 25   | 0.1784 |  0.986 | 0.4850316 | 13.7773452 | 6.0718170 | -0.06438  5.04306 14.69731  0.04399 
 26   | 0.1784 |  0.989 | 0.4795287 | 13.6926216 | 7.4555965 | -0.09230  5.18054 15.13030  0.01068 
 27   | 0.1784 |  0.990 | 0.4749500 | 13.6084192 | 8.7899542 | -0.11640  5.31186 15.56245 -0.02307 
 28   | 0.1784 |  0.992 | 0.4709767 | 13.5247347 | 9.9607258 | -0.14328  5.44662 15.99049 -0.05609 
 29   | 0.1784 |  0.992 | 0.4674014 | 13.4415650 |10.9019692 | -0.16765  5.57715 16.41706 -0.08933 
 30   | 0.1784 |  0.993 | 0.4640893 | 13.3589067 |11.6022493 | -0.19374  5.70961 16.84007 -0.12202 
 31   | 0.1784 |  0.993 | 0.4609532 | 13.2767568 |12.0884517 | -0.21818  5.83907 17.26123 -0.15479 
 32   | 0.1784 |  0.993 | 0.4579368 | 13.1951121 |12.4040237 | -0.24366  5.96947 17.67920 -0.18714 
 33   | 0.1784 |  0.994 | 0.4550037 | 13.1139695 |12.5931325 | -0.26803  6.09768 18.09508 -0.21946 
 34   | 0.1784 |  0.994 | 0.4521302 | 13.0333258 |12.6929895 | -0.29301  6.22622 18.50802 -0.25144 
 35   | 0.1784 |  0.994 | 0.4493013 | 12.9531781 |12.7319043 | -0.31723  6.35307 18.91872 -0.28334 
 36   | 0.1784 |  0.994 | 0.4465071 | 12.8735232 |12.7301369 | -0.34179  6.47986 19.32666 -0.31495 
 37   | 0.1784 |  0.994 | 0.4437412 | 12.7943582 |12.7016459 | -0.36580  6.60530 19.73228 -0.34644 
 38   | 0.1784 |  0.994 | 0.4409994 | 12.7156800 |12.6558185 | -0.38999  6.73042 20.13525 -0.37768 
 39   | 0.1784 |  0.994 | 0.4382792 | 12.6374856 |12.5988708 | -0.41377  6.85441 20.53587 -0.40877 
 40   | 0.1784 |  0.994 | 0.4355786 | 12.5597721 |12.5348779 | -0.43760  6.97793 20.93393 -0.43964 
 41   | 0.1784 |  0.994 | 0.4328966 | 12.4825365 |12.4664940 | -0.46113  7.10045 21.32962 -0.47034 
 42   | 0.1784 |  0.994 | 0.4302323 | 12.4057758 |12.3954403 | -0.48465  7.22241 21.72281 -0.50084 
 43   | 0.1784 |  0.994 | 0.4275851 | 12.3294872 |12.3228295 | -0.50791  7.34347 22.11363 -0.53116 
 44   | 0.1784 |  0.994 | 0.4249548 | 12.2536677 |12.2493796 | -0.53112  7.46390 22.50201 -0.56128 
 45   | 0.1784 |  0.994 | 0.4223410 | 12.1783145 |12.1755527 | -0.55411  7.58350 22.88803 -0.59123 
 46   | 0.1784 |  0.994 | 0.4197434 | 12.1034246 |12.1016460 | -0.57702  7.70244 23.27165 -0.62099 
 47   | 0.1784 |  0.994 | 0.4171620 | 12.0289953 |12.0278498 | -0.59975  7.82059 23.65294 -0.65057 
 48   | 0.1784 |  0.994 | 0.4145965 | 11.9550236 |11.9542860 | -0.62237  7.93805 24.03186 -0.67996 
 49   | 0.1784 |  0.994 | 0.4120469 | 11.8815069 |11.8810318 | -0.64482  8.05476 24.40847 -0.70917 
 50   | 0.1784 |  0.994 | 0.4095130 | 11.8084422 |11.8081363 | -0.66715  8.17078 24.78275 -0.73821 
 51   | 0.1784 |  0.994 | 0.4069946 | 11.7358268 |11.7356298 | -0.68934  8.28606 25.15474 -0.76706 
 52   | 0.1784 |  0.994 | 0.4044918 | 11.6636580 |11.6635312 | -0.71139  8.40066 25.52443 -0.79574 
 53   | 0.1784 |  0.994 | 0.4020044 | 11.5919330 |11.5918513 | -0.73331  8.51453 25.89186 -0.82424 
 54   | 0.1784 |  0.994 | 0.3995323 | 11.5206490 |11.5205964 | -0.75509  8.62771 26.25702 -0.85257 
 55   | 0.1784 |  0.994 | 0.3970754 | 11.4498035 |11.4497696 | -0.77674  8.74019 26.61994 -0.88072 
 56   | 0.1784 |  0.994 | 0.3946336 | 11.3793935 |11.3793717 | -0.79826  8.85199 26.98062 -0.90870 
 57   | 0.1784 |  0.994 | 0.3922068 | 11.3094166 |11.3094025 | -0.81964  8.96309 27.33909 -0.93651 
 58   | 0.1784 |  0.994 | 0.3897949 | 11.2398699 |11.2398609 | -0.84089  9.07351 27.69535 -0.96414 
 59   | 0.1784 |  0.994 | 0.3873979 | 11.1707510 |11.1707452 | -0.86201  9.18325 28.04943 -0.99161 
 60   | 0.1784 |  0.994 | 0.3850156 | 11.1020571 |11.1020533 | -0.88300  9.29232 28.40132 -1.01891 
 61   | 0.1784 |  0.994 | 0.3826480 | 11.0337856 |11.0337832 | -0.90386  9.40072 28.75105 -1.04604 
 62   | 0.1784 |  0.994 | 0.3802949 | 10.9659339 |10.9659324 | -0.92460  9.50845 29.09863 -1.07300 
 63   | 0.1784 |  0.994 | 0.3779563 | 10.8984995 |10.8984985 | -0.94520  9.61551 29.44408 -1.09980 
 64   | 0.1784 |  0.994 | 0.3756321 | 10.8314798 |10.8314792 | -0.96568  9.72192 29.78740 -1.12643 
 65   | 0.1784 |  0.994 | 0.3733222 | 10.7648722 |10.7648718 | -0.98604  9.82768 30.12860 -1.15290 
 66   | 0.1784 |  0.994 | 0.3710265 | 10.6986742 |10.6986740 | -1.00626  9.93278 30.46771 -1.17920 
 67   | 0.1784 |  0.994 | 0.3687448 | 10.6328833 |10.6328832 | -1.02637 10.03724 30.80474 -1.20535 
 68   | 0.1784 |  0.994 | 0.3664773 | 10.5674970 |10.5674969 | -1.04635 10.14105 31.13969 -1.23133 
 69   | 0.1784 |  0.994 | 0.3642236 | 10.5025128 |10.5025127 | -1.06621 10.24423 31.47258 -1.25715 
 70   | 0.1784 |  0.994 | 0.3619839 | 10.4379282 |10.4379281 | -1.08594 10.34677 31.80343 -1.28282 
 71   | 0.1784 |  0.994 | 0.3597579 | 10.3737407 |10.3737407 | -1.10555 10.44868 32.13224 -1.30832 
 72   | 0.1784 |  0.994 | 0.3575456 | 10.3099480 |10.3099479 | -1.12505 10.54997 32.45902 -1.33367 
 73   | 0.1784 |  0.994 | 0.3553468 | 10.2465475 |10.2465475 | -1.14442 10.65063 32.78380 -1.35887 
 74   | 0.1784 |  0.994 | 0.3531617 | 10.1835369 |10.1835369 | -1.16368 10.75068 33.10659 -1.38391 
 75   | 0.1784 |  0.994 | 0.3509899 | 10.1209138 |10.1209138 | -1.18281 10.85010 33.42738 -1.40879 
 76   | 0.1784 |  0.994 | 0.3488315 | 10.0586758 |10.0586758 | -1.20183 10.94892 33.74621 -1.43352 
 77   | 0.1784 |  0.994 | 0.3466864 |  9.9968206 | 9.9968206 | -1.22073 11.04713 34.06307 -1.45810 
 78   | 0.1784 |  0.994 | 0.3445545 |  9.9353457 | 9.9353457 | -1.23952 11.14474 34.37798 -1.48253 
 79   | 0.1784 |  0.994 | 0.3424357 |  9.8742488 | 9.8742488 | -1.25819 11.24174 34.69096 -1.50681 
 80   | 0.1784 |  0.994 | 0.3403299 |  9.8135277 | 9.8135277 | -1.27674 11.33815 35.00202 -1.53094 
 81   | 0.1784 |  0.994 | 0.3382370 |  9.7531799 | 9.7531799 | -1.29518 11.43396 35.31116 -1.55492 
 82   | 0.1784 |  0.994 | 0.3361571 |  9.6932033 | 9.6932033 | -1.31351 11.52919 35.61840 -1.57875 
 83   | 0.1784 |  0.994 | 0.3340899 |  9.6335955 | 9.6335955 | -1.33172 11.62383 35.92375 -1.60244 
 84   | 0.1784 |  0.994 | 0.3320354 |  9.5743542 | 9.5743542 | -1.34982 11.71789 36.22722 -1.62598 
 85   | 0.1784 |  0.994 | 0.3299936 |  9.5154772 | 9.5154772 | -1.36782 11.81137 36.52883 -1.64938 
 86   | 0.1784 |  0.994 | 0.3279643 |  9.4569623 | 9.4569623 | -1.38570 11.90428 36.82858 -1.67263 
 87   | 0.1784 |  0.994 | 0.3259475 |  9.3988073 | 9.3988073 | -1.40347 11.99661 37.12649 -1.69574 
 88   | 0.1784 |  0.994 | 0.3239431 |  9.3410098 | 9.3410098 | -1.42113 12.08838 37.42256 -1.71871 
 89   | 0.1784 |  0.994 | 0.3219510 |  9.2835678 | 9.2835678 | -1.43868 12.17958 37.71682 -1.74153 
 90   | 0.1784 |  0.994 | 0.3199712 |  9.2264790 | 9.2264790 | -1.45613 12.27022 38.00926 -1.76422 
 91   | 0.1784 |  0.994 | 0.3180036 |  9.1697413 | 9.1697413 | -1.47346 12.36030 38.29991 -1.78676 
 92   | 0.1784 |  0.994 | 0.3160480 |  9.1133525 | 9.1133525 | -1.49069 12.44983 38.58877 -1.80917 
 93   | 0.1784 |  0.994 | 0.3141045 |  9.0573104 | 9.0573104 | -1.50782 12.53881 38.87586 -1.83144 
 94   | 0.1784 |  0.994 | 0.3121729 |  9.0016130 | 9.0016130 | -1.52484 12.62724 39.16118 -1.85357 
 95   | 0.1784 |  0.994 | 0.3102532 |  8.9462581 | 8.9462581 | -1.54175 12.71513 39.44474 -1.87557 
 96   | 0.1784 |  0.994 | 0.3083454 |  8.8912436 | 8.8912436 | -1.55856 12.80248 39.72656 -1.89743 
 97   | 0.1784 |  0.994 | 0.3064492 |  8.8365674 | 8.8365674 | -1.57527 12.88929 40.00665 -1.91916 
 98   | 0.1784 |  0.994 | 0.3045647 |  8.7822274 | 8.7822274 | -1.59188 12.97557 40.28501 -1.94075 
 99   | 0.1784 |  0.994 | 0.3026918 |  8.7282216 | 8.7282216 | -1.60838 13.06131 40.56167 -1.96221 
100   | 0.1784 |  0.994 | 0.3008304 |  8.6745478 | 8.6745478 | -1.62478 13.14653 40.83662 -1.98354 
101   | 0.1784 |  0.994 | 0.2989805 |  8.6212042 | 8.6212042 | -1.64108 13.23123 41.10988 -2.00474 
102   | 0.1784 |  0.994 | 0.2971419 |  8.5681886 | 8.5681886 | -1.65728 13.31540 41.38146 -2.02581 
103   | 0.1784 |  0.994 | 0.2953147 |  8.5154990 | 8.5154990 | -1.67338 13.39906 41.65137 -2.04674 
104   | 0.1784 |  0.994 | 0.2934986 |  8.4631334 | 8.4631334 | -1.68938 13.48220 41.91962 -2.06755 
105   | 0.1784 |  0.994 | 0.2916938 |  8.4110898 | 8.4110898 | -1.70529 13.56483 42.18622 -2.08823 
106   | 0.1784 |  0.994 | 0.2899000 |  8.3593663 | 8.3593663 | -1.72109 13.64695 42.45119 -2.10879 
107   | 0.1784 |  0.994 | 0.2881173 |  8.3079608 | 8.3079608 | -1.73680 13.72857 42.71452 -2.12921 
108   | 0.1784 |  0.994 | 0.2863455 |  8.2568715 | 8.2568715 | -1.75241 13.80969 42.97623 -2.14952 
109   | 0.1784 |  0.994 | 0.2845847 |  8.2060963 | 8.2060963 | -1.76793 13.89031 43.23633 -2.16969 
110   | 0.1784 |  0.994 | 0.2828346 |  8.1556334 | 8.1556334 | -1.78335 13.97043 43.49484 -2.18975 
111   | 0.1784 |  0.994 | 0.2810954 |  8.1054808 | 8.1054808 | -1.79867 14.05005 43.75175 -2.20967 
112   | 0.1784 |  0.994 | 0.2793668 |  8.0556366 | 8.0556366 | -1.81390 14.12919 44.00709 -2.22948 
113   | 0.1784 |  0.994 | 0.2776488 |  8.0060989 | 8.0060989 | -1.82904 14.20785 44.26085 -2.24917 
114   | 0.1784 |  0.994 | 0.2759415 |  7.9568658 | 7.9568658 | -1.84408 14.28601 44.51306 -2.26873 
115   | 0.1784 |  0.994 | 0.2742446 |  7.9079355 | 7.9079355 | -1.85904 14.36370 44.76371 -2.28817 
116   | 0.1784 |  0.994 | 0.2725581 |  7.8593061 | 7.8593061 | -1.87390 14.44091 45.01282 -2.30750 
117   | 0.1784 |  0.994 | 0.2708820 |  7.8109757 | 7.8109757 | -1.88866 14.51765 45.26040 -2.32670 
118   | 0.1784 |  0.994 | 0.2692163 |  7.7629426 | 7.7629426 | -1.90334 14.59391 45.50646 -2.34579 
119   | 0.1784 |  0.994 | 0.2675607 |  7.7152048 | 7.7152048 | -1.91793 14.66971 45.75100 -2.36476 
120   | 0.1784 |  0.994 | 0.2659154 |  7.6677606 | 7.6677606 | -1.93243 14.74503 45.99404 -2.38361 
121   | 0.1784 |  0.994 | 0.2642801 |  7.6206081 | 7.6206081 | -1.94683 14.81990 46.23559 -2.40235 
122   | 0.1784 |  0.994 | 0.2626550 |  7.5737456 | 7.5737456 | -1.96115 14.89430 46.47565 -2.42097 
123   | 0.1784 |  0.994 | 0.2610398 |  7.5271712 | 7.5271712 | -1.97539 14.96825 46.71423 -2.43948 
124   | 0.1784 |  0.994 | 0.2594345 |  7.4808833 | 7.4808833 | -1.98953 15.04174 46.95135 -2.45787 
125   | 0.1784 |  0.994 | 0.2578392 |  7.4348800 | 7.4348800 | -2.00359 15.11478 47.18701 -2.47616 
126   | 0.1784 |  0.994 | 0.2562536 |  7.3891597 | 7.3891597 | -2.01756 15.18737 47.42122 -2.49432 
127   | 0.1784 |  0.994 | 0.2546778 |  7.3437204 | 7.3437204 | -2.03144 15.25952 47.65399 -2.51238 
128   | 0.1784 |  0.994 | 0.2531116 |  7.2985606 | 7.2985606 | -2.04524 15.33122 47.88533 -2.53033 
129   | 0.1784 |  0.994 | 0.2515552 |  7.2536785 | 7.2536785 | -2.05896 15.40248 48.11524 -2.54816 
130   | 0.1784 |  0.994 | 0.2500082 |  7.2090724 | 7.2090724 | -2.07259 15.47330 48.34375 -2.56589 
131   | 0.1784 |  0.994 | 0.2484708 |  7.1647407 | 7.1647407 | -2.08614 15.54369 48.57084 -2.58350 
132   | 0.1784 |  0.994 | 0.2469429 |  7.1206815 | 7.1206815 | -2.09960 15.61364 48.79654 -2.60101 
133   | 0.1784 |  0.994 | 0.2454243 |  7.0768932 | 7.0768932 | -2.11298 15.68317 49.02085 -2.61841 
134   | 0.1784 |  0.994 | 0.2439151 |  7.0333743 | 7.0333743 | -2.12628 15.75226 49.24379 -2.63570 
135   | 0.1784 |  0.994 | 0.2424151 |  6.9901229 | 6.9901229 | -2.13949 15.82093 49.46535 -2.65289 
136   | 0.1784 |  0.994 | 0.2409244 |  6.9471376 | 6.9471376 | -2.15263 15.88918 49.68555 -2.66997 
137   | 0.1784 |  0.994 | 0.2394429 |  6.9044165 | 6.9044165 | -2.16568 15.95701 49.90439 -2.68695 
138   | 0.1784 |  0.994 | 0.2379704 |  6.8619582 | 6.8619582 | -2.17866 16.02443 50.12189 -2.70382 
139   | 0.1784 |  0.994 | 0.2365070 |  6.8197610 | 6.8197610 | -2.19155 16.09142 50.33805 -2.72059 
140   | 0.1784 |  0.994 | 0.2350526 |  6.7778232 | 6.7778232 | -2.20437 16.15801 50.55289 -2.73725 
141   | 0.1784 |  0.994 | 0.2336072 |  6.7361434 | 6.7361434 | -2.21710 16.22418 50.76640 -2.75382 
142   | 0.1784 |  0.994 | 0.2321707 |  6.6947198 | 6.6947198 | -2.22976 16.28995 50.97860 -2.77028 
143   | 0.1784 |  0.994 | 0.2307429 |  6.6535510 | 6.6535510 | -2.24234 16.35532 51.18949 -2.78664 
144   | 0.1784 |  0.994 | 0.2293240 |  6.6126354 | 6.6126354 | -2.25484 16.42028 51.39909 -2.80290 
145   | 0.1784 |  0.994 | 0.2279138 |  6.5719714 | 6.5719714 | -2.26727 16.48484 51.60740 -2.81905 
146   | 0.1784 |  0.994 | 0.2265122 |  6.5315574 | 6.5315574 | -2.27962 16.54901 51.81442 -2.83511 
147   | 0.1784 |  0.994 | 0.2251193 |  6.4913919 | 6.4913919 | -2.29189 16.61278 52.02018 -2.85107 
148   | 0.1784 |  0.994 | 0.2237349 |  6.4514735 | 6.4514735 | -2.30409 16.67616 52.22466 -2.86694 
149   | 0.1784 |  0.994 | 0.2223591 |  6.4118005 | 6.4118005 | -2.31621 16.73915 52.42790 -2.88270 
150   | 0.1784 |  0.994 | 0.2209917 |  6.3723715 | 6.3723715 | -2.32826 16.80175 52.62988 -2.89837 
151   | 0.1784 |  0.994 | 0.2196327 |  6.3331849 | 6.3331849 | -2.34024 16.86397 52.83062 -2.91394 
152   | 0.1784 |  0.994 | 0.2182821 |  6.2942394 | 6.2942394 | -2.35214 16.92581 53.03012 -2.92942 
153   | 0.1784 |  0.994 | 0.2169398 |  6.2555333 | 6.2555333 | -2.36396 16.98726 53.22840 -2.94480 
154   | 0.1784 |  0.994 | 0.2156057 |  6.2170652 | 6.2170652 | -2.37572 17.04834 53.42546 -2.96009 
155   | 0.1784 |  0.994 | 0.2142799 |  6.1788337 | 6.1788337 | -2.38740 17.10904 53.62130 -2.97528 
156   | 0.1784 |  0.994 | 0.2129622 |  6.1408373 | 6.1408373 | -2.39901 17.16937 53.81595 -2.99038 
157   | 0.1784 |  0.994 | 0.2116526 |  6.1030746 | 6.1030746 | -2.41055 17.22932 54.00939 -3.00538 
158   | 0.1784 |  0.994 | 0.2103510 |  6.0655441 | 6.0655441 | -2.42202 17.28891 54.20165 -3.02030 
159   | 0.1784 |  0.994 | 0.2090575 |  6.0282444 | 6.0282444 | -2.43342 17.34813 54.39272 -3.03512 
160   | 0.1784 |  0.994 | 0.2077719 |  5.9911740 | 5.9911740 | -2.44474 17.40699 54.58262 -3.04985 
161   | 0.1784 |  0.994 | 0.2064942 |  5.9543316 | 5.9543316 | -2.45600 17.46549 54.77135 -3.06449 
162   | 0.1784 |  0.994 | 0.2052244 |  5.9177158 | 5.9177158 | -2.46719 17.52362 54.95892 -3.07904 
163   | 0.1784 |  0.994 | 0.2039624 |  5.8813251 | 5.8813251 | -2.47831 17.58140 55.14534 -3.09350 
164   | 0.1784 |  0.994 | 0.2027081 |  5.8451582 | 5.8451582 | -2.48936 17.63882 55.33061 -3.10787 
165   | 0.1784 |  0.994 | 0.2014616 |  5.8092138 | 5.8092138 | -2.50035 17.69589 55.51474 -3.12216 
166   | 0.1784 |  0.994 | 0.2002227 |  5.7734903 | 5.7734903 | -2.51126 17.75261 55.69774 -3.13635 
167   | 0.1784 |  0.994 | 0.1989915 |  5.7379866 | 5.7379866 | -2.52211 17.80898 55.87961 -3.15046 
168   | 0.1784 |  0.994 | 0.1977678 |  5.7027011 | 5.7027011 | -2.53289 17.86500 56.06037 -3.16448 
169   | 0.1784 |  0.994 | 0.1965516 |  5.6676327 | 5.6676327 | -2.54361 17.92068 56.24001 -3.17842 
170   | 0.1784 |  0.994 | 0.1953429 |  5.6327799 | 5.6327799 | -2.55426 17.97602 56.41855 -3.19227 
171   | 0.1784 |  0.994 | 0.1941417 |  5.5981414 | 5.5981414 | -2.56484 18.03102 56.59599 -3.20603 
172   | 0.1784 |  0.994 | 0.1929478 |  5.5637160 | 5.5637160 | -2.57536 18.08567 56.77234 -3.21971 
173   | 0.1784 |  0.994 | 0.1917613 |  5.5295022 | 5.5295022 | -2.58582 18.14000 56.94761 -3.23331 
174   | 0.1784 |  0.994 | 0.1905821 |  5.4954988 | 5.4954988 | -2.59621 18.19398 57.12179 -3.24682 
175   | 0.1784 |  0.994 | 0.1894101 |  5.4617046 | 5.4617046 | -2.60654 18.24764 57.29491 -3.26025 
176   | 0.1784 |  0.994 | 0.1882453 |  5.4281181 | 5.4281181 | -2.61680 18.30097 57.46696 -3.27359 
177   | 0.1784 |  0.994 | 0.1870877 |  5.3947382 | 5.3947382 | -2.62700 18.35396 57.63796 -3.28686 
178   | 0.1784 |  0.994 | 0.1859372 |  5.3615636 | 5.3615636 | -2.63714 18.40664 57.80790 -3.30004 
179   | 0.1784 |  0.994 | 0.1847938 |  5.3285929 | 5.3285929 | -2.64721 18.45899 57.97680 -3.31314 
180   | 0.1784 |  0.994 | 0.1836574 |  5.2958250 | 5.2958250 | -2.65722 18.51101 58.14466 -3.32616 
181   | 0.1784 |  0.994 | 0.1825281 |  5.2632587 | 5.2632587 | -2.66717 18.56272 58.31148 -3.33911 
182   | 0.1784 |  0.994 | 0.1814056 |  5.2308925 | 5.2308925 | -2.67706 18.61411 58.47728 -3.35197 
183   | 0.1784 |  0.994 | 0.1802901 |  5.1987255 | 5.1987255 | -2.68689 18.66518 58.64206 -3.36475 
184   | 0.1784 |  0.994 | 0.1791814 |  5.1667562 | 5.1667562 | -2.69666 18.71594 58.80583 -3.37745 
185   | 0.1784 |  0.994 | 0.1780795 |  5.1349835 | 5.1349835 | -2.70637 18.76638 58.96859 -3.39008 
186   | 0.1784 |  0.994 | 0.1769844 |  5.1034062 | 5.1034062 | -2.71602 18.81652 59.13035 -3.40263 
187   | 0.1784 |  0.994 | 0.1758961 |  5.0720231 | 5.0720231 | -2.72561 18.86635 59.29112 -3.41510 
188   | 0.1784 |  0.994 | 0.1748144 |  5.0408330 | 5.0408330 | -2.73514 18.91587 59.45089 -3.42749 
189   | 0.1784 |  0.994 | 0.1737394 |  5.0098346 | 5.0098346 | -2.74461 18.96509 59.60969 -3.43981 
190   | 0.1784 |  0.994 | 0.1726710 |  4.9790269 | 4.9790269 | -2.75403 19.01400 59.76750 -3.45205 
191   | 0.1784 |  0.994 | 0.1716092 |  4.9484087 | 4.9484087 | -2.76338 19.06261 59.92435 -3.46422 
192   | 0.1784 |  0.994 | 0.1705539 |  4.9179787 | 4.9179787 | -2.77268 19.11093 60.08023 -3.47631 
193   | 0.1784 |  0.994 | 0.1695050 |  4.8877359 | 4.8877359 | -2.78192 19.15894 60.23516 -3.48833 
194   | 0.1784 |  0.994 | 0.1684627 |  4.8576790 | 4.8576790 | -2.79111 19.20667 60.38913 -3.50027 
195   | 0.1784 |  0.994 | 0.1674267 |  4.8278070 | 4.8278070 | -2.80024 19.25409 60.54215 -3.51214 
196   | 0.1784 |  0.994 | 0.1663972 |  4.7981187 | 4.7981187 | -2.80931 19.30123 60.69423 -3.52394 
197   | 0.1784 |  0.994 | 0.1653739 |  4.7686129 | 4.7686129 | -2.81832 19.34808 60.84538 -3.53567 
198   | 0.1784 |  0.994 | 0.1643569 |  4.7392886 | 4.7392886 | -2.82729 19.39464 60.99560 -3.54732 
199   | 0.1784 |  0.994 | 0.1633462 |  4.7101446 | 4.7101446 | -2.83619 19.44091 61.14489 -3.55890 
200   | 0.1784 |  0.994 | 0.1623418 |  4.6811798 | 4.6811798 | -2.84504 19.48690 61.29327 -3.57041 
201   | 0.1784 |  0.994 | 0.1613434 |  4.6523932 | 4.6523932 | -2.85384 19.53260 61.44074 -3.58185 
202   | 0.1784 |  0.994 | 0.1603513 |  4.6237835 | 4.6237835 | -2.86258 19.57803 61.58729 -3.59322 
203   | 0.1784 |  0.994 | 0.1593652 |  4.5953498 | 4.5953498 | -2.87127 19.62317 61.73295 -3.60452 
204   | 0.1784 |  0.994 | 0.1583852 |  4.5670910 | 4.5670910 | -2.87990 19.66804 61.87771 -3.61575 
205   | 0.1784 |  0.994 | 0.1574112 |  4.5390059 | 4.5390059 | -2.88849 19.71263 62.02158 -3.62691 
206   | 0.1784 |  0.994 | 0.1564432 |  4.5110935 | 4.5110935 | -2.89702 19.75695 62.16457 -3.63800 
207   | 0.1784 |  0.994 | 0.1554812 |  4.4833528 | 4.4833528 | -2.90549 19.80099 62.30667 -3.64902 
208   | 0.1784 |  0.994 | 0.1545251 |  4.4557827 | 4.4557827 | -2.91392 19.84477 62.44790 -3.65998 
209   | 0.1784 |  0.994 | 0.1535748 |  4.4283821 | 4.4283821 | -2.92229 19.88827 62.58827 -3.67087 
210   | 0.1784 |  0.994 | 0.1526304 |  4.4011500 | 4.4011500 | -2.93061 19.93151 62.72777 -3.68169 
211   | 0.1784 |  0.994 | 0.1516918 |  4.3740854 | 4.3740854 | -2.93888 19.97448 62.86641 -3.69244 
212   | 0.1784 |  0.994 | 0.1507590 |  4.3471872 | 4.3471872 | -2.94710 20.01719 63.00420 -3.70313 
213   | 0.1784 |  0.994 | 0.1498319 |  4.3204544 | 4.3204544 | -2.95527 20.05963 63.14114 -3.71375 
